ticker
AAPL
MSFT
GOOGL
AMZN
NVDA
META
TSLA
JPM
V
WMT
0700.HK
9988.HK
1299.HK
0388.HK
VOD.L
HSBA.L
ULVR.L
BABA
JD
BIDU
005930.KS
7203.T
6758.T
SAN.MC
SAP.DE
NESN.SW
ROG.SW
RACE.MI
ENEL.MI
